,Class,F1 score,Accuracy,Precision,Recall,Specificity
288,"leopard, Panthera pardus",0.80808085,0.8,0.81632656,0.8,0.9998198
289,"snow leopard, ounce, Panthera uncia",0.89795923,0.88,0.9166667,0.88,0.9999199
290,"jaguar, panther, Panthera onca, Felis onca",0.80808085,0.8,0.81632656,0.8,0.9998198
291,"lion, king of beasts, Panthera leo",0.9514563,0.98,0.9245283,0.98,0.9999199
292,"tiger, Panthera tigris",0.8392857,0.94,0.7580645,0.94,0.9996997
293,"cheetah, chetah, Acinonyx jubatus",0.8867925,0.94,0.83928573,0.94,0.9998198
294,"brown bear, bruin, Ursus arctos",0.8703704,0.94,0.8103448,0.94,0.99977976
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",0.79279274,0.88,0.72131145,0.88,0.99965966
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.94,0.94,0.94,0.94,0.9999399
297,"sloth bear, Melursus ursinus, Ursus ursinus",0.8387097,0.78,0.90697676,0.78,0.9999199
298,mongoose,0.7799999,0.78,0.78,0.78,0.99977976
299,"meerkat, mierkat",0.82828283,0.82,0.8367347,0.82,0.99983984
300,tiger beetle,0.8703704,0.94,0.8103448,0.94,0.99977976
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.84112155,0.9,0.7894737,0.9,0.99975973
302,"ground beetle, carabid beetle",0.70329666,0.64,0.7804878,0.64,0.9998198
303,"long-horned beetle, longicorn, longicorn beetle",0.7216495,0.7,0.7446808,0.7,0.99975973
304,"leaf beetle, chrysomelid",0.68888885,0.62,0.775,0.62,0.9998198
305,dung beetle,0.8,0.84,0.76363635,0.84,0.99973977
306,rhinoceros beetle,0.877551,0.86,0.8958333,0.86,0.9998999
307,weevil,0.8888889,0.88,0.8979592,0.88,0.9998999
308,fly,0.8172043,0.76,0.88372093,0.76,0.9998999
309,bee,0.78350514,0.76,0.80851066,0.76,0.9998198
310,"ant, emmet, pismire",0.65979373,0.64,0.68085104,0.64,0.9996997
311,"grasshopper, hopper",0.6122449,0.6,0.625,0.6,0.99963963
312,cricket,0.6019417,0.62,0.5849057,0.62,0.9995596
313,"walking stick, walkingstick, stick insect",0.6868687,0.68,0.6938776,0.68,0.9996997
314,"cockroach, roach",0.7083334,0.68,0.73913044,0.68,0.99975973
315,"mantis, mantid",0.7173913,0.66,0.78571427,0.66,0.9998198
316,"cicada, cicala",0.8440367,0.92,0.779661,0.92,0.99973977
317,leafhopper,0.8888889,0.88,0.8979592,0.88,0.9998999
318,"lacewing, lacewing fly",0.82,0.82,0.82,0.82,0.9998198
319,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.77894735,0.74,0.82222223,0.74,0.99983984
320,damselfly,0.8118812,0.82,0.8039216,0.82,0.9997998
321,admiral,0.9591837,0.94,0.9791667,0.94,0.99998
322,"ringlet, ringlet butterfly",0.9126213,0.94,0.8867925,0.94,0.9998799
323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",0.9583333,0.92,1.0,0.92,1.0
324,cabbage butterfly,0.94,0.94,0.94,0.94,0.9999399
325,"sulphur butterfly, sulfur butterfly",0.9591837,0.94,0.9791667,0.94,0.99998
326,"lycaenid, lycaenid butterfly",0.90322584,0.84,0.9767442,0.84,0.99998
327,"starfish, sea star",0.89795923,0.88,0.9166667,0.88,0.9999199
328,sea urchin,0.875,0.84,0.9130435,0.84,0.9999199
329,"sea cucumber, holothurian",0.7708334,0.74,0.8043478,0.74,0.9998198
330,"wood rabbit, cottontail, cottontail rabbit",0.7474748,0.74,0.75510204,0.74,0.99975973
331,hare,0.82242984,0.88,0.7719298,0.88,0.99973977
332,"Angora, Angora rabbit",0.9320388,0.96,0.9056604,0.96,0.9998999
333,hamster,0.92592597,1.0,0.86206895,1.0,0.99983984
334,"porcupine, hedgehog",0.886598,0.86,0.9148936,0.86,0.9999199
335,"fox squirrel, eastern fox squirrel, Sciurus niger",0.8269231,0.86,0.7962963,0.86,0.99977976
336,marmot,0.86238533,0.94,0.7966102,0.94,0.99975973
337,beaver,0.8333334,0.8,0.8695652,0.8,0.9998799
338,"guinea pig, Cavia cobaya",0.8387097,0.78,0.90697676,0.78,0.9999199
339,sorrel,0.97029704,0.98,0.9607843,0.98,0.99995995
